"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05330","Allograft rejection","26/1170","39/9380",0.666666666666667,5.34472934472934,10.2635585683791,3.90601784092224e-15,1.34367013727725e-12,1.00322984545792e-12,"3108/3109/3113/958/3119/3111/3133/355/3115/3105/3117/3106/3107/940/3122/942/3112/3123/3134/3127/941/3120/7124/3592/3586/3135",26
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","62/1170","180/9380",0.344444444444444,2.76144349477683,9.0076328309509,1.13390620342873e-14,1.54322033769582e-12,1.15222081517069e-12,"3108/3109/3113/6890/6891/972/8764/3717/3119/578/3111/3133/355/3115/718/3105/5371/3117/9641/6773/3106/6892/3107/4615/55080/3122/115004/6772/3112/567/3123/7098/596/3134/3665/3127/64135/6352/727/5818/3459/3120/330/7124/148022/6714/10379/3690/4792/3569/3592/6347/4049/5199/56000/4939/684/4938/4940/23586/3135/9021",62
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","34/1170","66/9380",0.515151515151515,4.13001813001813,9.63275078082033,1.50980535999262e-14,1.54322033769582e-12,1.15222081517069e-12,"64127/3108/3109/3113/4094/3594/3119/3111/7100/3115/3117/7040/3122/6772/3112/3123/30009/7099/6774/3127/4772/3561/3459/3120/7124/50615/3595/3569/3592/3606/6775/4088/3586/2625",34
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","67/1170","205/9380",0.326829268292683,2.62022097144048,8.85416811064457,1.79444225313468e-14,1.54322033769582e-12,1.15222081517069e-12,"3108/3109/3113/6890/958/6891/10018/3119/578/3111/3133/355/3115/3105/5603/3117/9641/6773/3106/6892/3107/4615/55080/3383/3122/6772/4067/5971/3112/567/3123/29760/596/9541/3627/3134/6774/3665/3683/3127/4616/3718/1026/4794/5608/4791/890/3120/7124/9134/7128/10379/1870/4792/3569/1869/10912/5600/4939/2208/4938/898/4940/23586/3135/9636/8900",67
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","41/1170","95/9380",0.431578947368421,3.4600089968511,9.09718788399329,7.00030449336058e-14,4.81620949143208e-12,3.59594588711575e-12,"3108/3109/3113/8792/3119/3111/3115/3600/3117/940/3383/7040/3122/942/3112/3123/1493/245972/7099/523/3683/3127/6352/4050/10673/941/1514/3120/7124/2353/3569/6347/1435/3606/3576/2321/6374/6387/2919/8600/6348",41
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","83/1170","298/9380",0.278523489932886,2.23294900476108,8.16511146596333,3.39003234686533e-13,1.94361854553612e-11,1.45117174146516e-11,"9235/4283/3601/958/8792/8764/3594/1230/8743/6357/6373/5008/355/1439/3600/133396/1524/3556/1896/7040/3627/27242/8718/3563/6352/4050/10148/10673/3561/246778/6354/3459/1234/58191/6359/7124/50615/6355/7066/3557/944/943/3595/90865/3569/3592/2833/8995/8793/6347/8794/1435/3606/4049/3574/970/3576/3586/3575/6374/6387/652/2919/6351/8600/3977/6346/729230/4803/6362/1235/57007/5473/3559/27189/6348/51554/151449/1232/7850/5618/9560/6376",83
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","41/1170","100/9380",0.41,3.28700854700855,8.67947426490669,5.61592835524220e-13,2.75982764886188e-11,2.06058123109639e-11,"4283/8764/1230/8743/6357/6373/1524/3627/6352/3561/6354/1234/6359/7124/6355/3569/2833/8793/6347/8794/1435/3606/4049/3576/3586/6374/6387/2919/6351/6346/729230/6362/1235/57007/5473/3559/6348/51554/1232/9560/6376",41
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","54/1170","158/9380",0.341772151898734,2.74001947419669,8.32663856636935,8.71967898539342e-13,3.74946196371917e-11,2.7994758847842e-11,"7040/1031/246184/8454/4616/1026/9133/991/701/890/7272/4174/157570/983/4175/4173/9134/4085/993/4176/7465/4171/4998/57082/81620/699/5347/9212/10403/90381/9088/1111/1870/995/9700/9319/23594/1030/8318/5933/990/1869/151648/1028/5111/10912/4172/26271/113130/1663/4088/898/8317/8900",54
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","25/1170","44/9380",0.568181818181818,4.55516705516706,8.92289021872526,2.61866916202659e-12,1.00091354637461e-10,7.47316111736242e-11,"3108/3109/3113/3119/3111/3133/355/3115/3105/3117/3106/3107/940/3122/942/3112/3123/3134/3127/941/3120/7124/3592/4049/3135",25
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","34/1170","78/9380",0.435897435897436,3.49463072539996,8.35151030016065,6.89287479360509e-12,2.37114892900015e-10,1.77038047330489e-10,"3108/3109/3113/3717/3119/3111/3115/718/653361/5603/3117/4615/2209/7040/3122/6772/4688/3112/3123/7099/65108/3127/3459/3120/2215/7124/1379/2353/4792/3592/5600/5743/1378/3586",34
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","39/1170","100/9380",0.39,3.12666666666667,8.07095742056239,1.33559245339153e-11,4.1237247281524e-10,3.07891319972211e-10,"3108/3109/3113/952/3119/3111/1604/3115/3117/951/924/2209/3122/3112/3123/2323/4254/3127/909/3563/911/928/3120/7124/1379/7066/3690/910/3569/1435/3574/913/100133941/2208/1378/3575/914/3559/7850",39
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","55/1170","173/9380",0.317919075144509,2.5487871152611,7.76167273703762,1.43850862609967e-11,4.1237247281524e-10,3.07891319972211e-10,"3108/3109/3113/10241/4261/3717/5578/3119/8743/578/3111/355/3115/5371/3117/9641/6773/4615/3383/3122/6772/3841/3112/3123/7098/51284/834/7099/3627/103/3665/3127/64135/6352/3459/91543/3120/7124/148022/10379/90865/4792/3569/3592/6347/3606/56000/4939/4938/3576/4940/23586/7706/9021/4599",55
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","24/1170","45/9380",0.533333333333333,4.27578347578348,8.31503159625194,4.4732340092614e-11,1.18368653783533e-09,8.83780646364197e-10,"3108/3109/3113/3119/3111/3133/355/3115/3105/3117/3106/3107/940/3122/942/3112/3123/3134/3127/941/3120/7124/3569/3135",24
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","36/1170","93/9380",0.387096774193548,3.10339123242349,7.69526235882002,1.05572916697066e-10,2.59407738169935e-09,1.93682644166047e-09,"3108/3109/3113/4094/3717/3594/3119/3111/3115/5603/3117/3122/6772/3112/6776/3123/30009/3127/4772/3718/3561/4794/3459/55534/3120/4853/4854/28514/2353/3595/4792/3592/5600/6775/2625/3559",36
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","63/1170","224/9380",0.28125,2.25480769230769,7.17542963244776,1.68044965233589e-10,3.8538312026903e-09,2.87740150996461e-09,"3108/3109/3113/8829/3601/958/3119/3111/3133/3115/3105/3600/3117/3106/3107/5423/3383/7040/3122/1031/5971/3112/567/6776/3123/246184/7538/3134/3683/3127/1959/4772/3718/3561/1026/9133/991/701/4791/890/196883/3120/7124/9134/4085/1111/2353/1870/9700/4792/2648/3569/1030/107/1869/4049/5567/4088/898/3135/8900/3559/7850",63
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","33/1170","82/9380",0.402439024390244,3.22639149468418,7.64387030587274,1.89072944990622e-10,4.04856197313791e-09,3.02279412927065e-09,"3108/3109/3113/4261/6890/6891/972/5721/3119/10437/5720/3111/3133/3115/3105/5993/3117/3106/6892/3107/55080/1520/3122/3112/567/3123/3134/3127/1514/3120/7124/8302/3135",33
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","30/1170","70/9380",0.428571428571429,3.43589743589744,7.72205335491944,2.00074283556234e-10,4.04856197313791e-09,3.02279412927065e-09,"3108/3109/3113/958/3119/3111/3133/1604/3115/3105/3117/3106/3107/940/3383/3122/942/3112/3123/3134/3683/3127/1525/941/3120/6645/8082/4625/3135/6444",30
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","39/1170","109/9380",0.357798165137615,2.86850152905199,7.40701179551915,2.82706801509064e-10,5.40284109550656e-09,4.03394500398898e-09,"3108/3109/3113/3717/3594/3119/3111/3115/5603/3117/3556/7040/3122/6772/3112/6776/3123/30009/3662/6256/6774/3127/861/4772/10148/3718/3561/246778/4794/3459/3120/50615/2353/4792/3569/5600/4088/2625/3559",39
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","38/1170","105/9380",0.361904761904762,2.9014245014245,7.39633198870457,3.26439343448561e-10,5.91027021822657e-09,4.41280885326586e-09,"958/8792/6357/353376/4615/3383/1896/597/4067/1540/5971/29760/596/7099/4616/4050/10673/4791/7412/330/7124/148022/7128/8837/4792/4049/10912/5743/3576/23586/7706/5328/6387/2919/6351/8600/7185/9560",38
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","24/1170","50/9380",0.48,3.84820512820513,7.62280946567403,7.72463243741368e-10,1.32863677923515e-08,9.92005428804704e-09,"3108/3109/3113/3601/958/3119/3111/3115/3600/3117/940/7040/3122/942/3112/3123/3127/10673/941/3695/3120/3569/3586/6387",24
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","25/1170","54/9380",0.462962962962963,3.71161760050649,7.54357545499331,8.97852674109441e-10,1.47076818996975e-08,1.0981255763544e-08,"3108/3109/3113/958/3119/3111/3133/355/3115/3105/3117/3106/3107/940/3122/942/3112/3123/1493/3134/3127/941/3120/3586/3135",25
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","34/1170","99/9380",0.343434343434343,2.75334542001209,6.62044701965955,1.314795386708e-08,2.05586187739797e-07,1.53497643232896e-07,"3108/3109/3113/720/3119/3111/3115/718/3117/713/714/717/721/2209/3383/3122/2358/3112/715/3123/716/3683/3127/3075/727/728/629/6404/3120/2215/3858/2204/5724/3586",34
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","43/1170","143/9380",0.300699300699301,2.41073456458072,6.41722806752869,1.615478731594e-08,2.41619427681886e-07,1.80401286274113e-07,"3108/3109/3113/720/958/3119/3111/3115/718/3117/713/714/717/721/940/2209/3122/942/3112/715/8349/3123/94239/6737/716/3127/727/941/3120/2215/7124/440689/3017/92815/102724334/3014/8334/554313/8347/3586/8357/8365/126961",43
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","46/1170","160/9380",0.2875,2.30491452991453,6.28457940639981,2.41272015932609e-08,3.4582322283674e-07,2.58203385471739e-07,"3108/3109/3113/958/80380/3119/3111/3133/3115/3105/3117/3106/3107/29126/3384/6402/940/3383/3122/942/3112/3123/1493/6383/5788/9672/3134/3683/3127/1003/1525/5818/941/3695/7412/6404/3120/1462/10666/64115/5133/4897/3135/914/9071/22854",46
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","22/1170","50/9380",0.44,3.52752136752137,6.76454571836852,2.95282835305741e-08,4.063091813807e-07,3.03364260272004e-07,"958/3082/4615/22914/3383/7040/7058/6383/7099/3683/7412/7124/1379/3569/3592/6347/3606/7057/3576/1378/3586/1311",22
"Human Diseases","Immune disease","hsa05310","Asthma","17/1170","32/9380",0.53125,4.2590811965812,6.97124647875497,3.43899214780691e-08,4.55005114940606e-07,3.39722301240844e-07,"3108/3109/3113/958/3119/3111/3115/3117/3122/3112/3123/3127/2207/3120/7124/3586/2205",17
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","35/1170","109/9380",0.321100917431193,2.57429624402101,6.24073925966839,5.68559704940987e-08,7.24387179628516e-07,5.408521169809e-07,"4283/958/6373/7100/51311/5603/9641/6773/353376/4615/942/6772/3663/7098/51284/7099/3627/3665/6352/941/5608/7096/7124/148022/10379/2353/4792/3569/3592/1326/5600/3576/6351/6348/9560",35
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","51/1170","193/9380",0.264248704663212,2.11850670918028,5.92693289335243,8.85472075719413e-08,1.08786569302671e-06,8.12237543141116e-07,"4283/3717/3702/1230/5058/6357/6373/653361/6773/1524/54331/5829/6772/4067/3627/6774/7074/6352/3718/6354/196883/1234/2309/58191/6359/6714/6355/53358/2790/4792/2833/107/6347/56288/5567/3576/6374/6387/2919/6351/6346/729230/6362/1235/5473/2788/6348/1232/9560/6376/2784",51
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1170","157/9380",0.280254777070064,2.24682889651042,5.94730485960766,1.10265506071424e-07,1.3079770375369e-06,9.76580162665248e-07,"1901/3717/8578/817/5603/713/23166/714/1524/1374/7040/961/840/55113/10461/286046/3693/834/6256/121601/4772/64805/1847/5734/29933/7301/3690/2621/9023/5732/10062/5600/5743/100133941/7057/64284/26762/3586/1844/575/5029/343702/246/6376",44
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","51/1170","196/9380",0.260204081632653,2.08608058608059,5.80061136360525,1.50812238848026e-07,1.72931367212403e-06,1.29116443083924e-06,"3717/9976/1230/578/3133/355/718/3105/5603/9641/6773/3106/64422/3107/54331/3383/942/6772/131450/4277/4067/7098/7538/3134/6774/3665/4772/1026/5608/3459/1234/148022/6714/10379/2790/2353/1870/4792/3569/1869/5600/5743/5155/3576/440738/83439/3135/2919/2788/1232/2784",51
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","36/1170","119/9380",0.302521008403361,2.42533936651584,5.90693836007099,2.00419347894103e-07,2.22400824759907e-06,1.6605202338255e-06,"3659/64127/843/355/7424/3600/5603/4318/3383/840/1540/3627/6352/5608/7412/330/7124/7128/79651/2353/1906/8837/4792/3569/6347/1435/3726/4049/1326/5600/5743/9021/6374/2919/7185/6376",36
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","43/1170","155/9380",0.27741935483871,2.2240970499035,5.80093678993485,2.10227851190187e-07,2.25994940029451e-06,1.68735512139492e-06,"3108/3109/3113/6890/6891/3119/3111/3133/3115/718/3105/653361/3117/3106/3107/2209/81035/83547/1520/3122/4688/3112/715/3123/7058/245972/3693/7099/523/3134/3127/4360/1514/3120/2215/7277/79659/2204/3690/7057/3135/1311/8685",43
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","27/1170","78/9380",0.346153846153846,2.77514792899408,5.94282995970318,3.41171747573462e-07,3.55645700500821e-06,2.65537181524481e-06,"3659/720/718/5603/713/353376/714/717/4615/721/710/840/715/834/7099/716/3394/727/7124/148022/2353/3569/3592/5600/3576/3586/6374",27
